BOOT_BUTTON,24.03,108.91,180.00,,MYBUTTON
C1,156.82,3.86,90.00,100nF,EAGLE-LTSPICE_C0402
C10,67.42,108.76,90.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,93.95,52.74,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,121.11,47.88,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,123.25,33.12,180.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,120.29,36.22,90.00,4.7uF,EAGLE-LTSPICE_C0402
C2,155.70,3.86,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,132.82,49.38,90.00,4.7uF,EAGLE-LTSPICE_C0402
C3,131.71,35.00,90.00,"100uF TANT",RCL_CT3528
C4,95.96,29.14,90.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,157.85,49.60,90.00,100nF,EAGLE-LTSPICE_C0402
C5,52.41,108.74,90.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,150.96,47.70,90.00,4.7uF,EAGLE-LTSPICE_C0402
C6,27.48,108.68,90.00,100nF,EAGLE-LTSPICE_C0402
C7,82.77,24.36,180.00,10uF,EAGLE-LTSPICE_C0402
C8,91.56,62.16,90.00,100nF,EAGLE-LTSPICE_C0402
C9,7.34,100.06,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,63.96,108.91,180.00,,MYBUTTON
CHG_LED,124.64,47.85,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,52.09,103.42,90.00,100nF,EAGLE-LTSPICE_C0402
D1,154.68,47.70,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,48.12,29.80,90.00,PGB1010603MR,DIOC1608X36N
D11,46.10,29.80,90.00,PGB1010603MR,DIOC1608X36N
D12,40.28,29.80,90.00,PGB1010603MR,DIOC1608X36N
D2,122.15,36.21,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,83.45,33.40,0.00,MBR0530,SOD3716X135N
D4,90.89,29.10,0.00,MBR0530,SOD3716X135N
D5,90.82,25.38,0.00,MBR0530,SOD3716X135N
D6,32.48,51.00,90.00,PGB1010603MR,DIOC1608X36N
D7,87.90,65.21,0.00,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,13.56,98.10,0.00,PGB1010603MR,DIOC1608X36N
D9,76.24,21.10,0.00,PGB1010603MR,DIOC1608X36N
EPD_C1,91.77,20.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,79.23,20.32,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,75.01,17.32,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,73.67,17.32,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,89.98,20.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,88.10,20.34,90.00,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,86.29,20.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,84.58,20.28,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,82.89,20.28,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,81.10,20.38,90.00,1uF/50V,EAGLE-LTSPICE_C0402
IC1,49.23,103.12,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,126.47,36.12,0.00,XC6220A331MR-G,SOT95P280X120-5N
J1,85.45,13.22,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,166.55,54.26,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,167.06,19.36,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,9.09,88.78,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,83.37,28.25,0.00,68uH,IND_4828-WE-TPC_WRE
PFMF.050.1,153.74,40.40,0.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,135.06,43.81,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,69.28,15.31,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,79.15,24.88,0.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,19.00,45.50,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,69.01,9.16,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,124.33,45.88,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,153.58,3.90,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,87.92,63.64,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
